timestamp,rtp_timestamp,first_packet_departure,estimated_first_packet_departure,first_packet_arrival,last_packet_arrival,render,encode_ms,pacing_ms,network_ms,estimated_network_ms,decode_ms,frame_construction_delay_ms,inter_frame_delay_ms,inter_frame_departure_ms,frame_jitter_ms,encoded_size,height,width,min_rtt,avail_bw,is_keyframe,frame_type
433286206,476797407,-1,433286210,433286206,433286206,0,2,0,3968044665528,-4,1,0,34,0,34,3927,480,270,1,62.832,0,delta
433286240,476800377,-2,433286243,433286239,433286239,0,2,0,3968044665561,-4,1,0,33,0,33,7095,480,270,1,113.52,0,delta
433286272,476803437,-2,433286276,433286272,433286272,0,1,0,3968044665595,-4,1,0,33,0,33,3614,480,270,1,57.824,0,delta
433286306,476806407,-1,433286310,433286305,433286305,0,2,0,3968044665627,-5,0,0,33,0,33,4148,480,270,1,66.368,0,delta
433286341,476809557,433286340,433286345,433286340,433286340,0,2,0,0,-5,1,0,35,0,35,3360,480,270,1,53.76,0,delta
433286373,476812437,433286372,433286377,433286373,433286373,0,2,0,1,-4,1,0,33,32,1,7501,480,270,1,120.016,0,delta
433286405,476815407,433286404,433286409,433286405,433286405,0,1,0,1,-4,1,0,32,32,0,4544,480,270,1,72.704,0,delta
433286440,476818467,433286439,433286444,433286440,433286440,0,2,0,1,-4,1,0,35,35,0,5020,480,270,1,80.32,0,delta
433286473,476821437,433286473,433286477,433286472,433286472,0,2,0,-1,-5,1,0,32,34,-2,7036,480,270,1,112.576,0,delta
433286507,476824407,433286506,433286510,433286506,433286506,0,2,0,0,-4,1,0,34,33,1,7292,480,270,1,116.672,0,delta
433286540,476827467,433286540,433286544,433286539,433286539,0,2,0,-1,-5,1,0,33,34,-1,5310,480,270,1,84.96,0,delta
433286574,476830437,433286574,433286577,433286573,433286573,0,2,0,-1,-4,1,0,34,34,0,7210,480,270,1,115.36,0,delta
433286606,476833497,433286606,433286610,433286606,433286606,0,1,0,0,-4,0,0,33,32,1,3896,480,270,1,62.336,0,delta
433286641,476836467,433286640,433286644,433286640,433286640,0,2,0,0,-4,1,0,34,34,0,9146,480,270,1,146.336,0,delta
433286672,476839437,433286671,433286676,433286672,433286672,0,1,0,1,-4,1,0,32,31,1,7494,480,270,1,119.904,0,delta
433286706,476842407,433286705,433286710,433286705,433286705,0,2,0,0,-5,1,0,33,34,-1,7381,480,270,1,118.096,0,delta
433286740,476845467,433286739,433286743,433286739,433286739,0,1,0,0,-4,1,0,34,34,0,7168,480,270,1,114.688,0,delta
433286774,476848437,433286773,433286777,433286773,433286773,0,2,0,0,-4,1,0,34,34,0,9698,480,270,1,155.168,0,delta
433286805,476851407,433286805,433286809,433286805,433286805,0,1,0,0,-4,1,0,32,32,0,4763,480,270,1,76.208,0,delta
433286840,476854467,433286839,433286844,433286839,433286839,0,2,0,0,-5,1,0,34,34,0,5893,480,270,1,94.288,0,delta
433286872,476857437,433286871,433286876,433286872,433286872,0,1,0,1,-4,1,0,33,32,1,5689,480,270,1,91.024,0,delta
433286906,476860407,433286906,433286910,433286906,433286906,0,2,0,0,-4,1,0,34,35,-1,8852,480,270,1,141.632,0,delta
433286939,476863467,433286939,433286943,433286939,433286939,0,1,0,0,-4,0,0,33,33,0,3796,480,270,1,60.736,0,delta
433286973,476866437,433286973,433286977,433286972,433286972,0,2,0,-1,-5,1,0,33,34,-1,5708,480,270,1,91.328,0,delta
433287007,476869497,433287006,433287010,433287006,433287006,0,1,0,0,-4,1,0,34,33,1,6088,480,270,1,97.408,0,delta
433287041,476872467,433287040,433287044,433287040,433287040,0,2,0,0,-4,1,0,34,34,0,11482,480,270,1,183.712,0,delta
433287073,476875437,433287073,433287077,433287073,433287073,0,2,0,0,-4,1,0,33,33,0,9065,480,270,1,145.04,0,delta
433287107,476878407,433287106,433287110,433287106,433287106,0,2,0,0,-4,1,0,33,33,0,9660,480,270,1,154.56,0,delta
433287140,476881467,433287139,433287144,433287139,433287139,0,2,0,0,-5,1,0,33,33,0,8212,480,270,1,131.392,0,delta
433287174,476884437,433287173,433287177,433287173,433287173,0,2,0,0,-4,1,0,34,34,0,12188,480,270,1,195.008,0,delta
433287207,476887497,433287207,433287211,433287206,433287206,0,2,0,-1,-5,1,0,33,34,-1,9045,480,270,1,144.72,0,delta
433287240,476890377,433287240,433287243,433287239,433287239,0,2,0,-1,-4,2,0,33,33,0,11109,480,270,1,177.744,0,delta
433287273,476893437,433287272,433287277,433287272,433287272,0,2,0,0,-5,1,0,33,32,1,8516,480,270,1,136.256,0,delta
433287308,476896497,433287307,433287312,433287308,433287308,0,3,0,1,-4,1,0,36,35,1,15045,480,270,1,240.72,0,delta
433287340,476899467,433287339,433287344,433287340,433287340,0,2,0,1,-4,1,0,32,32,0,9328,480,270,1,149.248,0,delta
433287373,476902437,433287373,433287377,433287373,433287373,0,2,0,0,-4,1,0,33,34,-1,10411,480,270,1,166.576,0,delta
433287406,476905407,433287406,433287410,433287406,433287406,0,2,0,0,-4,1,0,33,33,0,8415,480,270,1,134.64,0,delta
433287440,476908377,433287439,433287444,433287439,433287440,0,3,0,1,-4,1,1,34,33,1,12590,480,270,1,67.1467,0,delta
433287473,476911437,433287473,433287477,433287472,433287472,0,2,0,-1,-5,1,0,32,34,-2,6540,480,270,1,104.64,0,delta
433287506,476914407,433287506,433287510,433287506,433287506,0,2,0,0,-4,1,0,34,33,1,8630,480,270,1,138.08,0,delta
433287540,476917467,433287540,433287544,433287539,433287539,0,2,0,-1,-5,1,0,33,34,-1,6738,480,270,1,107.808,0,delta
433287574,476920437,433287574,433287578,433287573,433287573,0,3,0,-1,-5,1,0,34,34,0,10967,480,270,1,175.472,0,delta
433287606,476923407,433287606,433287610,433287606,433287606,0,2,0,0,-4,1,0,33,32,1,7497,480,270,1,119.952,0,delta
433287640,476926377,433287638,433287643,433287639,433287639,0,2,0,1,-4,1,0,33,32,1,8960,480,270,1,143.36,0,delta
433287673,476929437,433287672,433287677,433287672,433287672,0,2,0,0,-5,1,0,33,34,-1,7359,480,270,1,117.744,0,delta
433287708,476932407,433287706,433287711,433287707,433287707,0,3,0,1,-4,1,0,35,34,1,13612,480,270,1,217.792,0,delta
433287739,476935377,433287738,433287743,433287739,433287739,0,2,0,1,-4,1,0,32,32,0,7783,480,270,1,124.528,0,delta
433287773,476938437,433287772,433287777,433287773,433287773,0,2,0,1,-4,1,0,34,34,0,9470,480,270,1,151.52,0,delta
433287810,476941497,433287808,433287813,433287809,433287809,0,4,1,1,-4,1,0,36,36,0,8175,480,270,1,130.8,0,delta
433287843,476944467,433287841,433287846,433287842,433287842,0,4,0,1,-4,1,0,33,33,0,13194,480,270,1,211.104,0,delta
433287874,476947347,433287873,433287877,433287873,433287873,0,3,0,0,-4,1,0,31,32,-1,7471,480,270,1,119.536,0,delta
433287908,476950407,433287908,433287912,433287908,433287908,0,4,0,0,-4,1,0,35,35,0,10361,480,270,1,165.776,0,delta
433287940,476953377,433287940,433287944,433287940,433287940,0,3,0,0,-4,1,0,32,32,0,7158,480,270,1,114.528,0,delta
433287975,476956437,433287974,433287979,433287975,433287975,0,4,0,1,-4,1,0,35,34,1,14601,480,270,1,233.616,0,delta
433288008,476959497,433288006,433288011,433288007,433288007,0,2,0,1,-4,1,0,32,32,0,9190,480,270,1,147.04,0,delta
433288040,476962377,433288039,433288043,433288039,433288039,0,2,0,0,-4,0,0,32,33,-1,8738,480,270,1,139.808,0,delta
433288072,476965347,433288071,433288076,433288072,433288072,0,2,0,1,-4,0,0,33,32,1,7040,480,270,1,112.64,0,delta
433288108,476968407,433288106,433288111,433288107,433288107,0,3,0,1,-4,1,0,35,35,0,13224,480,270,1,211.584,0,delta
