timestamp_ms,frames_decoded,frames_dropped,frames_received,framerate,jitter_buffer_delay_ms,min_playout_delay_ms,video_width,video_height,total_decode_time_ms,total_bytes_received,bitrates,overall_avg_bitrates,sender_period_bitrate,sender_overall_bitrate,decoder_implementation,period_packets_received,period_packets_lost,loss_ratio,period_packets_discarded,period_fec_packets_received,period_fec_packets_discarded,period_packets_repaired,period_fec_bytes_recv,period_fec_bytes_sent,fec_byte_ratio,period_retx_pkts_recv,period_retx_bytes_recv,period_retx_pkts_sent,period_retx_bytes_sent,retransmission_ratio,period_freeze_count,period_freeze_duration_ms,freeze_time_ratio
433285579,2.5,0,2.5,31.5,38.7195,0,480,270,1.7085,15247,377635,377635,0,0,dav1d,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433285779,11,0,11,39,81.901,0,480,270,7.783,42621,1.09496e+06,651946,0,0,dav1d,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433285979,17,0,17,35,82.027,0,480,270,11.411,61830,768360,684149,0,1.517e+06,dav1d,19,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
433286180,23,0,23,34,82.202,0,480,270,15.402,80619,747821,698000,575204,1.04493e+06,dav1d,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433286380,29,0,29,33,82.438,0,480,270,20.372,110281,1.18648e+06,784918,656520,915674,dav1d,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433286580,35,0,35,30,82.643,0,480,270,25.759,146716,1.4574e+06,886502,1.22496e+06,992899,dav1d,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433286780,41,0,41,30,82.861,0,480,270,31.736,191529,1.79252e+06,1.0054e+06,616520,917698,dav1d,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433286980,47,0,47,30,82.992,0,480,270,37.022,226251,1.38888e+06,1.04989e+06,1.79756e+06,1.06422e+06,dav1d,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433287181,53,0,53,30,83.17,0,480,270,43.619,282986,2.25811e+06,1.17605e+06,1.45389e+06,1.12009e+06,dav1d,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433287381,59,0,59,30,83.369,0,480,270,50.202,346485,2.53996e+06,1.30441e+06,2.65104e+06,1.31122e+06,dav1d,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433287581,65,0,65,30,83.563,0,480,270,55.604,400402,2.15668e+06,1.37773e+06,1.62332e+06,1.34586e+06,dav1d,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433287782,71,0,71,30,83.815,0,480,270,61.54,455121,2.17787e+06,1.4414e+06,2.05978e+06,1.4175e+06,dav1d,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433287982,77,0,77,30,84.024,0,480,270,68.439,516125,2.44016e+06,1.51467e+06,2.11992e+06,1.48127e+06,dav1d,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433288182,83,0,83,30,84.225,0,480,270,74.073,572704,2.26316e+06,1.56583e+06,3.74436e+06,1.66962e+06,dav1d,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433288383,89,0,89,30,84.456,0,480,270,79.899,627566,2.18356e+06,1.60554e+06,2.43829e+06,1.72896e+06,dav1d,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433288583,95,0,95,30,84.709,0,480,270,85.482,678236,2.0268e+06,1.63087e+06,1.86776e+06,1.73886e+06,dav1d,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433288783,101,0,101,30,84.925,0,480,270,90.87,730766,2.1012e+06,1.65754e+06,2.12492e+06,1.76456e+06,dav1d,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433288983,107,0,107,30,85.144,0,480,270,95.359,770536,1.5908e+06,1.65395e+06,1.401e+06,1.74187e+06,dav1d,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433289183,113,0,113,30,85.319,0,480,270,100.136,803803,1.33068e+06,1.63749e+06,2.65724e+06,1.79565e+06,dav1d,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433289384,119,0,119,30,85.595,0,640,360,104.755,846851,1.71335e+06,1.64118e+06,744318,1.73703e+06,dav1d,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433289584,125,0,125,30,85.809,0,640,360,109.231,887075,1.60896e+06,1.6397e+06,1.28592e+06,1.71332e+06,dav1d,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433289784,131,0,131,30,86.047,0,640,360,113.509,925391,1.53264e+06,1.63497e+06,2.34392e+06,1.74481e+06,dav1d,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433289984,134,0,134,27,86.145,0,640,360,115.401,945908,820680,1.60052e+06,0,1.66182e+06,dav1d,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433290185,134,0,134,21,86.145,0,640,360,115.401,945908,0,1.53525e+06,2.06551e+06,1.68024e+06,dav1d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433290385,134,0,134,15,86.145,0,640,360,115.401,945908,0,1.47539e+06,0,1.60728e+06,dav1d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
