timestamp_ms,chunk_bytes,total_data_bytes,file_bytes,sequence,chunk_index,chunk_count,send_time_ms
13.437,262103,31452360,121000000,0,119,462,13
13.482,262103,31714463,121000000,0,120,462,13
13.516,262103,31976566,121000000,0,121,462,13
13.565,262103,32238669,121000000,0,122,462,13
13.611,262103,32500772,121000000,0,123,462,13
13.647,262103,32762875,121000000,0,124,462,13
13.680,262103,33024978,121000000,0,125,462,14
13.729,262103,33287081,121000000,0,126,462,14
13.765,262103,33549184,121000000,0,127,462,14
13.810,262103,33811287,121000000,0,128,462,14
13.861,262103,34073390,121000000,0,129,462,14
13.906,262103,34335493,121000000,0,130,462,14
13.941,262103,34597596,121000000,0,131,462,14
13.977,262103,34859699,121000000,0,132,462,14
14.012,262103,35121802,121000000,0,133,462,14
14.069,262103,35383905,121000000,0,134,462,14
14.119,262103,35646008,121000000,0,135,462,14
14.164,262103,35908111,121000000,0,136,462,14
14.201,262103,36170214,121000000,0,137,462,14
14.248,262103,36432317,121000000,0,138,462,14
14.288,262103,36694420,121000000,0,139,462,14
14.339,262103,36956523,121000000,0,140,462,14
14.387,262103,37218626,121000000,0,141,462,14
14.425,262103,37480729,121000000,0,142,462,14
14.476,262103,37742832,121000000,0,143,462,14
14.525,262103,38004935,121000000,0,144,462,14
14.576,262103,38267038,121000000,0,145,462,14
14.632,262103,38529141,121000000,0,146,462,14
14.670,262103,38791244,121000000,0,147,462,14
14.722,262103,39053347,121000000,0,148,462,15
14.757,262103,39315450,121000000,0,149,462,15
14.807,262103,39577553,121000000,0,150,462,15
14.856,262103,39839656,121000000,0,151,462,15
14.891,262103,40101759,121000000,0,152,462,15
14.942,262103,40363862,121000000,0,153,462,15
14.990,262103,40625965,121000000,0,154,462,15
15.028,262103,40888068,121000000,0,155,462,15
15.080,262103,41150171,121000000,0,156,462,15
15.126,262103,41412274,121000000,0,157,462,15
15.161,262103,41674377,121000000,0,158,462,15
15.197,262103,41936480,121000000,0,159,462,15
15.249,262103,42198583,121000000,0,160,462,15
15.302,262103,42460686,121000000,0,161,462,15
15.353,262103,42722789,121000000,0,162,462,15
15.404,262103,42984892,121000000,0,163,462,15
15.441,262103,43246995,121000000,0,164,462,15
15.488,262103,43509098,121000000,0,165,462,15
15.544,262103,43771201,121000000,0,166,462,15
15.596,262103,44033304,121000000,0,167,462,15
15.644,262103,44295407,121000000,0,168,462,15
15.689,262103,44557510,121000000,0,169,462,16
15.740,262103,44819613,121000000,0,170,462,16
15.789,262103,45081716,121000000,0,171,462,16
15.827,262103,45343819,121000000,0,172,462,16
15.878,262103,45605922,121000000,0,173,462,16
15.924,262103,45868025,121000000,0,174,462,16
15.961,262103,46130128,121000000,0,175,462,16
16.010,262103,46392231,121000000,0,176,462,16
16.046,262103,46654334,121000000,0,177,462,16
16.100,262103,46916437,121000000,0,178,462,16
16.153,262103,47178540,121000000,0,179,462,16
16.209,262103,47440643,121000000,0,180,462,16
16.247,262103,47702746,121000000,0,181,462,16
16.278,262103,47964849,121000000,0,182,462,16
16.315,262103,48226952,121000000,0,183,462,16
16.346,262103,48489055,121000000,0,184,462,16
16.377,262103,48751158,121000000,0,185,462,16
16.418,262103,49013261,121000000,0,186,462,16
16.469,262103,49275364,121000000,0,187,462,16
16.500,262103,49537467,121000000,0,188,462,16
16.542,262103,49799570,121000000,0,189,462,16
16.576,262103,50061673,121000000,0,190,462,16
16.611,262103,50323776,121000000,0,191,462,16
16.645,262103,50585879,121000000,0,192,462,16
16.679,262103,50847982,121000000,0,193,462,17
16.710,262103,51110085,121000000,0,194,462,17
16.743,262103,51372188,121000000,0,195,462,17
16.777,262103,51634291,121000000,0,196,462,17
16.811,262103,51896394,121000000,0,197,462,17
16.843,262103,52158497,121000000,0,198,462,17
16.875,262103,52420600,121000000,0,199,462,17
16.910,262103,52682703,121000000,0,200,462,17
16.946,262103,52944806,121000000,0,201,462,17
16.979,262103,53206909,121000000,0,202,462,17
17.010,262103,53469012,121000000,0,203,462,17
17.048,262103,53731115,121000000,0,204,462,17
17.081,262103,53993218,121000000,0,205,462,17
17.115,262103,54255321,121000000,0,206,462,17
17.147,262103,54517424,121000000,0,207,462,17
17.183,262103,54779527,121000000,0,208,462,17
17.215,262103,55041630,121000000,0,209,462,17
17.250,262103,55303733,121000000,0,210,462,17
17.281,262103,55565836,121000000,0,211,462,17
17.313,262103,55827939,121000000,0,212,462,17
17.349,262103,56090042,121000000,0,213,462,17
17.380,262103,56352145,121000000,0,214,462,17
17.415,262103,56614248,121000000,0,215,462,17
17.445,262103,56876351,121000000,0,216,462,17
17.480,262103,57138454,121000000,0,217,462,17
17.516,262103,57400557,121000000,0,218,462,17
17.547,262103,57662660,121000000,0,219,462,17
17.579,262103,57924763,121000000,0,220,462,17
17.615,262103,58186866,121000000,0,221,462,17
17.646,262103,58448969,121000000,0,222,462,17
17.681,262103,58711072,121000000,0,223,462,18
17.712,262103,58973175,121000000,0,224,462,18
17.748,262103,59235278,121000000,0,225,462,18
17.779,262103,59497381,121000000,0,226,462,18
17.814,262103,59759484,121000000,0,227,462,18
17.845,262103,60021587,121000000,0,228,462,18
17.880,262103,60283690,121000000,0,229,462,18
17.910,262103,60545793,121000000,0,230,462,18
17.946,262103,60807896,121000000,0,231,462,18
17.977,262103,61069999,121000000,0,232,462,18
18.008,262103,61332102,121000000,0,233,462,18
18.049,262103,61594205,121000000,0,234,462,18
18.084,262103,61856308,121000000,0,235,462,18
18.114,262103,62118411,121000000,0,236,462,18
18.145,262103,62380514,121000000,0,237,462,18
18.181,262103,62642617,121000000,0,238,462,18
18.211,262103,62904720,121000000,0,239,462,18
18.247,262103,63166823,121000000,0,240,462,18
18.279,262103,63428926,121000000,0,241,462,18
18.313,262103,63691029,121000000,0,242,462,18
18.343,262103,63953132,121000000,0,243,462,18
18.379,262103,64215235,121000000,0,244,462,18
18.409,262103,64477338,121000000,0,245,462,18
18.444,262103,64739441,121000000,0,246,462,18
18.475,262103,65001544,121000000,0,247,462,18
18.510,262103,65263647,121000000,0,248,462,18
18.541,262103,65525750,121000000,0,249,462,18
18.571,262103,65787853,121000000,0,250,462,18
18.607,262103,66049956,121000000,0,251,462,18
18.644,262103,66312059,121000000,0,252,462,18
18.676,262103,66574162,121000000,0,253,462,19
18.707,262103,66836265,121000000,0,254,462,19
18.742,262103,67098368,121000000,0,255,462,19
18.777,262103,67360471,121000000,0,256,462,19
18.809,262103,67622574,121000000,0,257,462,19
18.840,262103,67884677,121000000,0,258,462,19
18.874,262103,68146780,121000000,0,259,462,19
18.906,262103,68408883,121000000,0,260,462,19
18.941,262103,68670986,121000000,0,261,462,19
18.971,262103,68933089,121000000,0,262,462,19
19.006,262103,69195192,121000000,0,263,462,19
19.044,262103,69457295,121000000,0,264,462,19
19.078,262103,69719398,121000000,0,265,462,19
19.109,262103,69981501,121000000,0,266,462,19
19.141,262103,70243604,121000000,0,267,462,19
19.175,262103,70505707,121000000,0,268,462,19
19.210,262103,70767810,121000000,0,269,462,19
19.242,262103,71029913,121000000,0,270,462,19
19.273,262103,71292016,121000000,0,271,462,19
19.307,262103,71554119,121000000,0,272,462,19
19.343,262103,71816222,121000000,0,273,462,19
19.373,262103,72078325,121000000,0,274,462,19
19.403,262103,72340428,121000000,0,275,462,19
19.439,262103,72602531,121000000,0,276,462,19
19.469,262103,72864634,121000000,0,277,462,19
19.503,262103,73126737,121000000,0,278,462,19
19.535,262103,73388840,121000000,0,279,462,19
19.570,262103,73650943,121000000,0,280,462,19
19.601,262103,73913046,121000000,0,281,462,19
19.635,262103,74175149,121000000,0,282,462,19
19.666,262103,74437252,121000000,0,283,462,19
19.698,262103,74699355,121000000,0,284,462,20
19.732,262103,74961458,121000000,0,285,462,20
19.767,262103,75223561,121000000,0,286,462,20
