timestamp_ms,data_bytes,total_data_bytes,sequence,send_time_ms
0.000,5000,5000,0,0
2000.026,10000,15000,1,2000
3000.139,50000,65000,2,3000
4000.231,10000,75000,3,4000
5000.036,25000,100000,4,5000
6000.028,10000,110000,5,6000
