Timestamp(ms),Bitrate(bps),DelayJitter(ms),Threshold(ms),CongestionState
432331276,0,0,12.5,0
432331326,301000,0,12.5,0
432331326,301000,-1,12.5,0
432331326,301000,0,12.5,0
432331326,301000,0,7.1375,0
432331326,301000,1,6,0
432331326,301000,0,6,0
432331377,913860,-1,6,0
432331377,913860,0,6,0
432331377,913860,0,6,0
432331377,913860,0,6,0
432331377,913860,0,6,0
432331427,1829090,1,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,-1,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,1,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331427,1829090,0,6,0
432331478,4056000,-1,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331478,4056000,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331529,9490461,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
432331580,22593714,0,6,0
