Timestamp(ms),Bitrate(bps),LossRate,State(-1/0/1)
432331276,301000,0,1
432331580,50000000,0,1
432331587,50000000,0,1
432331611,50000000,0,1
432331630,50000000,0,1
432331637,50000000,0,1
432331660,50000000,0,1
432331680,50000000,0,1
432331686,50000000,0,1
432331711,50000000,0,1
432331730,50000000,0,1
432331736,50000000,0,1
432331761,50000000,0,1
432331780,50000000,0,1
432331787,50000000,0,1
432331811,50000000,0,1
432331831,50000000,0,1
432331835,50000000,0,1
432331861,50000000,0,1
432331882,50000000,0,1
432331887,50000000,0,1
432331911,50000000,0,1
432331933,50000000,0,1
432331935,50000000,0,1
432331962,50000000,0,1
432331984,50000000,0,1
432331986,50000000,0,1
432332010,50000000,0,1
432332034,50000000,0,1
432332037,50000000,0,1
432332061,50000000,0,1
432332085,50000000,0,1
432332085,50000000,0,1
432332111,50000000,0,1
432332136,50000000,0,1
432332137,50000000,0,1
432332161,50000000,0,1
432332185,50000000,0,1
432332186,50000000,0,1
432332212,50000000,0,1
432332237,50000000,0,1
432332237,50000000,0,1
432332260,50000000,0,1
432332287,50000000,0,1
432332288,50000000,0,1
432332311,50000000,0,1
432332335,50000000,0,1
432332338,50000000,0,1
432332361,50000000,0,1
432332386,50000000,0,1
432332389,50000000,0,1
432332411,50000000,0,1
432332437,50000000,0,1
432332439,50000000,0,1
432332460,50000000,0,1
432332487,50000000,0,1
432332489,50000000,0,1
432332512,50000000,0,1
432332521,50000000,0,1
432332536,50000000,0,1
432332540,50000000,0,1
432332562,50000000,0,1
432332586,50000000,0,1
432332591,50000000,0,1
432332611,50000000,0,1
432332635,50000000,0,1
432332642,50000000,0,1
432332662,50000000,0,1
432332686,50000000,0,1
432332693,50000000,0,1
432332710,50000000,0,1
432332737,50000000,0,1
432332743,50000000,0,1
432332762,50000000,0,1
432332785,50000000,0,1
432332794,50000000,0,1
432332812,50000000,0,1
432332836,50000000,0,1
432332844,50000000,0,1
432332860,50000000,0,1
432332887,50000000,0,1
432332895,50000000,0,1
432332911,50000000,0,1
432332937,50000000,0,1
432332945,50000000,0,1
432332960,50000000,0,1
432332986,50000000,0,1
432332995,50000000,0,1
432333011,50000000,0,1
432333037,50000000,0,1
432333046,50000000,0,1
432333060,50000000,0,1
432333087,50000000,0,1
432333097,50000000,0,1
432333112,50000000,0,1
432333135,50000000,0,1
432333147,50000000,0,1
432333162,50000000,0,1
432333185,50000000,0,1
432333198,50000000,0,1
432333211,50000000,0,1
432333236,50000000,0,1
432333248,50000000,0,1
432333262,50000000,0,1
432333285,50000000,0,1
432333299,50000000,0,1
432333311,50000000,0,1
432333336,50000000,0,1
432333350,50000000,0,1
432333361,50000000,0,1
432333387,50000000,0,1
432333400,50000000,0,1
432333412,50000000,0,1
432333435,50000000,0,1
432333451,50000000,0,1
432333461,50000000,0,1
432333486,50000000,0,1
432333501,50000000,0,1
432333512,50000000,0,1
432333536,50000000,0,1
432333552,50000000,0,1
432333561,50000000,0,1
432333585,50000000,0,1
432333603,50000000,0,1
432333611,50000000,0,1
432333636,50000000,0,1
432333653,50000000,0,1
432333661,50000000,0,1
432333687,50000000,0,1
432333705,50000000,0,1
432333710,50000000,0,1
432333736,50000000,0,1
432333756,50000000,0,1
432333762,50000000,0,1
432333785,50000000,0,1
432333806,50000000,0,1
432333811,50000000,0,1
432333831,50000000,0,1
432333837,50000000,0,1
432333857,50000000,0,1
432333860,50000000,0,1
432333886,50000000,0,1
432333908,50000000,0,1
432333911,50000000,0,1
432333937,50000000,0,1
432333958,50000000,0,1
432333960,50000000,0,1
432333987,50000000,0,1
432334009,50000000,0,1
432334010,50000000,0,1
432334037,50000000,0,1
432334059,50000000,0,1
432334061,50000000,0,1
432334087,50000000,0,1
432334110,50000000,0,1
432334112,50000000,0,1
432334137,50000000,0,1
432334160,50000000,0,1
432334161,50000000,0,1
432334187,50000000,0,1
432334210,50000000,0,1
432334211,50000000,0,1
432334237,50000000,0,1
432334261,50000000,0,1
432334261,50000000,0,1
432334285,50000000,0,1
432334312,50000000,0,1
432334312,50000000,0,1
432334336,50000000,0,1
432334361,50000000,0,1
432334362,50000000,0,1
432334387,50000000,0,1
432334411,50000000,0,1
432334413,50000000,0,1
432334436,50000000,0,1
432334461,50000000,0,1
432334464,50000000,0,1
432334487,50000000,0,1
432334510,50000000,0,1
432334514,50000000,0,1
