timestamp_ms,chunk_bytes,total_bytes
0.000,9,9
0.651,9,18
0.666,512,530
100.863,9,539
100.901,512,1051
201.134,9,1060
201.161,512,1572
301.203,9,1581
301.227,512,2093
401.348,9,2102
401.389,512,2614
501.489,9,2623
501.508,512,3135
601.641,9,3144
601.677,512,3656
701.892,9,3665
701.926,512,4177
802.271,9,4186
802.294,512,4698
902.437,9,4707
902.455,512,5219
1002.650,9,5228
1002.676,512,5740
1102.842,9,5749
1102.870,512,6261
1203.057,9,6270
1203.091,512,6782
1303.196,9,6791
1303.243,512,7303
1403.392,9,7312
1403.432,512,7824
1503.818,9,7833
1503.839,512,8345
1604.056,9,8354
1604.112,512,8866
1704.470,9,8875
1704.512,512,9387
1804.834,9,9396
1804.852,512,9908
1905.072,9,9917
1905.094,512,10429
2005.173,9,10438
2005.189,512,10950
2105.394,9,10959
2105.411,512,11471
2205.581,9,11480
2205.607,512,11992
2305.822,9,12001
2305.853,512,12513
2406.050,9,12522
2406.084,512,13034
2506.441,9,13043
2506.468,512,13555
2606.560,9,13564
2606.593,512,14076
2706.850,9,14085
2706.873,512,14597
2807.072,9,14606
2807.095,512,15118
2907.251,9,15127
2907.270,512,15639
3007.327,9,15648
3007.365,512,16160
3107.534,9,16169
3107.565,512,16681
3207.808,9,16690
3207.840,512,17202
3308.014,9,17211
3308.051,512,17723
3408.269,9,17732
3408.317,512,18244
3508.428,9,18253
3508.449,512,18765
3608.676,9,18774
3608.704,512,19286
3709.020,9,19295
3709.048,512,19807
3809.145,9,19816
3809.181,512,20328
3909.455,9,20337
3909.474,512,20849
4009.582,9,20858
4009.682,512,21370
4109.975,9,21379
4109.995,512,21891
4210.121,9,21900
4210.156,512,22412
4310.372,9,22421
4310.401,512,22933
4410.511,9,22942
4410.547,512,23454
4510.714,9,23463
4510.734,512,23975
4610.987,9,23984
4611.023,512,24496
4711.214,9,24505
4711.248,512,25017
4811.424,9,25026
4811.447,512,25538
4911.520,9,25547
4911.556,512,26059
5011.725,9,26068
5011.760,512,26580
5111.936,9,26589
5111.966,512,27101
5212.168,9,27110
5212.194,512,27622
5312.368,9,27631
5312.408,512,28143
5412.593,9,28152
5412.618,512,28664
5512.841,9,28673
5512.875,512,29185
5613.119,9,29194
5613.152,512,29706
5713.272,9,29715
5713.312,512,30227
5813.505,9,30236
5813.539,512,30748
5913.759,9,30757
5913.785,512,31269
6013.927,9,31278
6013.944,512,31790
6114.139,9,31799
6114.157,512,32311
6214.332,9,32320
6214.368,512,32832
6314.568,9,32841
6314.601,512,33353
6414.804,9,33362
6414.826,512,33874
6514.997,9,33883
6515.033,512,34395
6615.308,9,34404
6615.332,512,34916
6715.330,9,34925
6715.359,512,35437
6815.651,9,35446
6815.682,512,35958
6915.957,9,35967
6915.981,512,36479
7016.008,9,36488
7016.072,512,37000
7116.401,9,37009
7116.440,512,37521
7216.673,9,37530
7216.706,512,38042
7316.804,9,38051
7316.839,512,38563
7417.114,9,38572
7417.135,512,39084
7517.294,9,39093
7517.320,512,39605
7617.582,9,39614
7617.707,512,40126
7718.052,9,40135
7718.081,512,40647
7818.183,9,40656
7818.225,512,41168
7918.358,9,41177
7918.397,512,41689
8018.557,9,41698
8018.590,512,42210
8118.916,9,42219
8119.116,512,42731
8219.456,9,42740
8219.478,512,43252
8319.502,9,43261
8319.534,512,43773
8419.702,9,43782
8419.735,512,44294
8520.093,9,44303
8520.117,512,44815
8620.378,9,44824
8620.402,512,45336
8720.493,9,45345
8720.523,512,45857
8820.809,9,45866
8820.843,512,46378
8921.048,9,46387
8921.095,512,46899
9021.304,9,46908
9021.341,512,47420
9121.678,9,47429
9121.710,512,47941
9221.786,9,47950
9221.820,512,48462
9321.943,9,48471
9321.970,512,48983
9422.179,9,48992
9422.205,512,49504
9522.405,9,49513
9522.445,512,50025
9622.688,9,50034
9622.718,512,50546
9722.910,9,50555
9722.941,512,51067
9823.135,9,51076
9823.170,512,51588
9923.270,9,51597
9923.352,512,52109
10023.536,9,52118
10023.579,512,52630
10123.794,9,52639
10123.873,512,53151
10224.302,9,53160
10224.370,512,53672
10324.533,9,53681
10324.661,512,54193
10424.909,9,54202
10424.996,512,54714
10525.407,9,54723
10525.497,512,55235
10625.683,9,55244
10625.729,512,55756
10725.898,9,55765
10725.923,512,56277
10826.095,9,56286
10826.112,512,56798
10926.319,9,56807
10926.341,512,57319
11026.623,9,57328
11026.663,512,57840
11126.977,9,57849
11127.006,512,58361
11227.343,9,58370
11227.392,512,58882
11327.587,9,58891
11327.649,512,59403
11427.832,9,59412
11427.875,512,59924
11528.201,9,59933
11528.282,512,60445
11628.616,9,60454
11628.700,512,60966
11728.993,9,60975
11729.109,512,61487
11829.421,9,61496
11829.490,512,62008
11929.825,9,62017
11929.939,512,62529
12030.277,9,62538
12030.341,512,63050
12130.684,9,63059
12133.006,512,63571
12233.183,9,63580
12233.251,512,64092
12333.697,9,64101
12333.805,512,64613
12434.221,9,64622
12434.350,512,65134
12534.580,9,65143
12534.641,512,65655
12634.965,9,65664
12635.059,512,66176
12735.494,9,66185
12735.584,512,66697
12835.965,9,66706
12836.015,512,67218
12936.220,9,67227
12936.257,512,67739
13036.573,9,67748
13036.609,512,68260
