timestamp,rtp_timestamp,first_packet_departure,estimated_first_packet_departure,first_packet_arrival,last_packet_arrival,render,encode_ms,pacing_ms,network_ms,estimated_network_ms,decode_ms,frame_construction_delay_ms,inter_frame_delay_ms,inter_frame_departure_ms,frame_jitter_ms,encoded_size,height,width,min_rtt,avail_bw,is_keyframe,frame_type
433304030,303871654,-1,433304034,433304030,433304030,0,2,0,3968044683353,-4,0,0,34,0,34,3454,480,270,1,55.264,0,delta
433304063,303874624,-1,433304067,433304062,433304062,0,2,0,3968044683385,-5,1,0,32,0,32,3460,480,270,1,55.36,0,delta
433304098,303877684,-2,433304101,433304097,433304097,0,2,0,3968044683420,-4,1,0,35,0,35,6900,480,270,1,110.4,0,delta
433304130,303880654,-1,433304133,433304129,433304130,0,1,0,3968044683453,-3,0,1,33,0,33,3549,480,270,1,18.928,0,delta
433304163,303883624,-1,433304167,433304163,433304163,0,2,0,3968044683486,-4,0,0,33,0,33,4209,480,270,1,67.344,0,delta
433304196,303886684,-2,433304200,433304196,433304196,0,1,0,3968044683520,-4,1,0,33,0,33,3712,480,270,1,59.392,0,delta
433304230,303889654,-1,433304234,433304230,433304230,0,2,0,3968044683553,-4,1,0,34,0,34,7709,480,270,1,123.344,0,delta
433304263,303892624,433304261,433304267,433304262,433304262,0,2,0,1,-5,0,0,32,0,32,3356,480,270,1,53.696,0,delta
433304296,303895684,433304294,433304300,433304296,433304296,0,1,0,2,-4,1,0,34,33,1,3736,480,270,1,59.776,0,delta
433304330,303898654,433304329,433304334,433304329,433304329,0,2,0,0,-5,1,0,33,35,-2,7645,480,270,1,122.32,0,delta
433304365,303901714,433304363,433304368,433304364,433304364,0,2,0,1,-4,1,0,35,34,1,6619,480,270,1,105.904,0,delta
433304397,303904684,433304396,433304401,433304397,433304397,0,2,1,1,-4,0,0,33,33,0,4044,480,270,1,64.704,0,delta
433304430,303907744,433304429,433304434,433304430,433304430,0,1,0,1,-4,1,0,33,33,0,5630,480,270,1,90.08,0,delta
433304463,303910714,433304462,433304467,433304463,433304463,0,1,0,1,-4,1,0,33,33,0,5310,480,270,1,84.96,0,delta
433304497,303913684,433304496,433304501,433304497,433304497,0,2,0,1,-4,1,0,34,34,0,9939,480,270,1,159.024,0,delta
433304530,303916654,433304529,433304534,433304529,433304529,0,2,0,0,-5,1,0,32,33,-1,6762,480,270,1,108.192,0,delta
433304563,303919624,433304562,433304567,433304563,433304563,0,2,1,1,-4,1,0,34,33,1,6697,480,270,1,107.152,0,delta
433304597,303922684,433304595,433304601,433304597,433304597,0,2,0,2,-4,1,0,34,33,1,6296,480,270,1,100.736,0,delta
433304631,303925654,433304629,433304635,433304630,433304630,0,3,0,1,-5,1,0,33,34,-1,8776,480,270,1,140.416,0,delta
433304663,303928624,433304661,433304667,433304663,433304663,0,2,1,2,-4,1,0,33,32,1,6467,480,270,1,103.472,0,delta
433304697,303931684,433304695,433304701,433304696,433304696,0,2,0,1,-5,1,0,33,34,-1,6112,480,270,1,97.792,0,delta
433304729,303934654,433304728,433304733,433304729,433304729,0,1,0,1,-4,1,0,33,33,0,5403,480,270,1,86.448,0,delta
433304764,303937624,433304762,433304767,433304763,433304763,0,2,0,1,-4,1,0,34,34,0,8759,480,270,1,140.144,0,delta
433304797,303940684,433304796,433304801,433304796,433304796,0,2,0,0,-5,0,0,33,34,-1,6041,480,270,1,96.656,0,delta
433304830,303943654,433304828,433304834,433304829,433304829,0,2,0,1,-5,0,0,33,32,1,6612,480,270,1,105.792,0,delta
433304863,303946624,433304861,433304867,433304862,433304862,0,2,0,1,-5,1,0,33,33,0,5695,480,270,1,91.12,0,delta
433304898,303949684,433304896,433304902,433304897,433304897,0,3,0,1,-5,1,0,35,35,0,8836,480,270,1,141.376,0,delta
433304930,303952654,433304928,433304934,433304930,433304930,0,2,0,2,-4,1,0,33,32,1,6614,480,270,1,105.824,0,delta
433304963,303955624,433304961,433304967,433304963,433304963,0,2,0,2,-4,1,0,33,33,0,7577,480,270,1,121.232,0,delta
433304997,303958684,433304995,433305001,433304997,433304997,0,2,0,2,-4,1,0,34,34,0,6511,480,270,1,104.176,0,delta
433305031,303961654,433305029,433305035,433305031,433305031,0,3,1,2,-4,1,0,34,34,0,11094,480,270,1,177.504,0,delta
433305064,303964714,433305062,433305068,433305063,433305063,0,2,0,1,-5,1,0,32,33,-1,7046,480,270,1,112.736,0,delta
433305097,303967684,433305095,433305101,433305097,433305097,0,2,0,2,-4,1,0,34,33,1,8673,480,270,1,138.768,0,delta
433305130,303970654,433305128,433305134,433305129,433305129,0,2,0,1,-5,1,0,32,33,-1,6134,480,270,1,98.144,0,delta
433305165,303973714,433305162,433305168,433305164,433305164,0,2,0,2,-4,1,0,35,34,1,11133,480,270,1,178.128,0,delta
433305197,303976684,433305195,433305201,433305197,433305197,0,2,0,2,-4,0,0,33,33,0,6909,480,270,1,110.544,0,delta
433305231,303979654,433305228,433305234,433305230,433305230,0,2,0,2,-4,1,0,33,33,0,8443,480,270,1,135.088,0,delta
433305263,303982624,433305261,433305267,433305262,433305263,0,2,0,2,-4,0,1,33,33,0,7002,480,270,1,37.344,0,delta
433305299,303985684,433305296,433305302,433305298,433305298,0,3,1,2,-4,1,0,35,35,0,11914,480,270,1,190.624,0,delta
433305330,303988654,433305328,433305334,433305330,433305330,0,2,0,2,-4,1,0,32,32,0,8689,480,270,1,139.024,0,delta
433305364,303991624,433305361,433305367,433305363,433305363,0,2,0,2,-4,1,0,33,33,0,10578,480,270,1,169.248,0,delta
433305397,303994684,433305395,433305401,433305397,433305397,0,2,0,2,-4,1,0,34,34,0,8255,480,270,1,132.08,0,delta
433305432,303997654,433305429,433305435,433305431,433305431,0,3,0,2,-4,2,0,34,34,0,13123,480,270,1,209.968,0,delta
433305464,304000714,433305462,433305468,433305463,433305463,0,2,0,1,-5,1,0,32,33,-1,8523,480,270,1,136.368,0,delta
433305497,304003684,433305495,433305501,433305497,433305497,0,2,0,2,-4,1,0,34,33,1,10446,480,270,1,167.136,0,delta
433305531,304006654,433305528,433305534,433305530,433305530,0,2,0,2,-4,1,0,33,33,0,8153,480,270,1,130.448,0,delta
433305565,304009624,433305562,433305568,433305564,433305564,0,3,0,2,-4,1,0,34,34,0,12270,480,270,1,196.32,0,delta
433305597,304012684,433305595,433305601,433305596,433305596,0,2,0,1,-5,1,0,32,33,-1,6550,480,270,1,104.8,0,delta
