timestamp,rtp_timestamp,first_packet_departure,estimated_first_packet_departure,first_packet_arrival,last_packet_arrival,render,encode_ms,pacing_ms,network_ms,estimated_network_ms,decode_ms,frame_construction_delay_ms,inter_frame_delay_ms,inter_frame_departure_ms,frame_jitter_ms,encoded_size,height,width,min_rtt,avail_bw,is_keyframe,frame_type
432332034,172597931,-1,432332038,432332034,432332034,0,1,0,3968043711358,-4,0,0,32,0,32,2294,480,270,1,36.704,0,delta
432332067,172600901,-2,432332071,432332067,432332067,0,1,0,3968043711391,-4,1,0,33,0,33,4054,480,270,1,64.864,0,delta
432332100,172603961,-1,432332105,432332100,432332100,0,1,0,3968043711424,-5,1,0,33,0,33,1934,480,270,1,30.944,0,delta
432332134,172606841,-1,432332138,432332133,432332133,0,2,0,3968043711456,-5,1,0,33,0,33,2654,480,270,1,42.464,0,delta
432332167,172609901,432332165,432332171,432332167,432332167,0,1,0,2,-4,1,0,34,0,34,3156,480,270,1,50.496,0,delta
432332201,172612871,432332199,432332205,432332201,432332201,0,2,0,2,-4,0,0,34,34,0,6272,480,270,1,100.352,0,delta
432332234,172615931,432332232,432332238,432332234,432332234,0,1,0,2,-4,1,0,33,33,0,3678,480,270,1,58.848,0,delta
432332267,172618901,432332264,432332271,432332267,432332267,0,1,1,3,-4,0,0,33,32,1,3148,480,270,1,50.368,0,delta
432332301,172621961,432332298,432332305,432332301,432332301,0,1,0,3,-4,0,0,34,34,0,4928,480,270,1,78.848,0,delta
432332334,172624931,432332332,432332338,432332334,432332334,0,1,0,2,-4,1,0,33,34,-1,3916,480,270,1,62.656,0,delta
432332367,172627901,432332365,432332371,432332367,432332367,0,1,0,2,-4,1,0,33,33,0,3762,480,270,1,60.192,0,delta
432332400,172630871,432332398,432332404,432332400,432332400,0,1,0,2,-4,1,0,33,33,0,3713,480,270,1,59.408,0,delta
432332435,172634021,432332433,432332439,432332435,432332435,0,1,0,2,-4,1,0,35,35,0,3454,480,270,1,55.264,0,delta
432332469,172636991,432332467,432332472,432332469,432332469,0,1,0,2,-3,1,0,34,34,0,6334,480,270,1,101.344,0,delta
432332501,172639961,432332499,432332505,432332501,432332501,0,1,0,2,-4,0,0,32,32,0,4452,480,270,1,71.232,0,delta
432332534,172642931,432332532,432332538,432332534,432332534,0,1,0,2,-4,1,0,33,33,0,4077,480,270,1,65.232,0,delta
432332567,172645901,432332565,432332571,432332567,432332567,0,1,0,2,-4,0,0,33,33,0,4421,480,270,1,70.736,0,delta
432332601,172648871,432332599,432332605,432332601,432332601,0,2,0,2,-4,1,0,34,34,0,8041,480,270,1,128.656,0,delta
432332633,172651841,432332631,432332637,432332633,432332633,0,1,0,2,-4,1,0,32,32,0,5061,480,270,1,80.976,0,delta
432332667,172654811,432332665,432332670,432332667,432332667,0,1,0,2,-3,0,0,34,34,0,4648,480,270,1,74.368,0,delta
432332701,172657871,432332699,432332705,432332700,432332700,0,2,0,1,-5,1,0,33,34,-1,6631,480,270,1,106.096,0,delta
432332735,172660931,432332733,432332739,432332735,432332735,0,2,0,2,-4,1,0,35,34,1,8777,480,270,1,140.432,0,delta
432332766,172663811,432332765,432332771,432332766,432332766,0,2,0,1,-5,1,0,31,32,-1,4443,480,270,1,71.088,0,delta
432332801,172666871,432332799,432332805,432332800,432332801,0,2,0,2,-4,0,1,35,34,1,4819,480,270,1,25.7013,0,delta
432332838,172670111,432332835,432332841,432332837,432332837,0,2,0,2,-4,1,0,36,36,0,7205,480,270,1,115.28,0,delta
432332869,172672901,432332866,432332872,432332868,432332868,0,2,0,2,-4,1,0,31,31,0,7733,480,270,1,123.728,0,delta
