timestamp_ms,frames_decoded,frames_dropped,frames_received,framerate,jitter_buffer_delay_ms,min_playout_delay_ms,video_width,video_height,total_decode_time_ms,total_bytes_received,bitrates,overall_avg_bitrates,sender_period_bitrate,sender_overall_bitrate,decoder_implementation,period_packets_received,period_packets_lost,loss_ratio,period_packets_discarded,period_fec_packets_received,period_fec_packets_discarded,period_packets_repaired,period_fec_bytes_recv,period_fec_bytes_sent,fec_byte_ratio,period_retx_pkts_recv,period_retx_bytes_recv,period_retx_pkts_sent,period_retx_bytes_sent,retransmission_ratio,period_freeze_count,period_freeze_duration_ms,freeze_time_ratio
432331427,2.5,0,2.5,25,56.197,0,480,270,1.4085,11896,324805,324805,0,0,dav1d,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432331627,11,0,11,37,114.813,0,480,270,6.186,31966,802800,518718,0,0,dav1d,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432331828,17,0,17,34,114.968,0,480,270,9.38,46660,584836,537867,0,0,dav1d,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432332028,23,0,23,33,115.126,0,480,270,12.769,59562,516080,532993,0,1.8664e+06,dav1d,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
432332228,29,0,29,32,115.275,0,480,270,16.686,79934,814880,584527,330680,1.09854e+06,dav1d,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432332428,35,0,35,30,115.414,0,480,270,20.198,103091,926280,637348,622960,940013,dav1d,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432332628,41,0,41,30,115.586,0,480,270,24.546,133886,1.2318e+06,716926,1.3036e+06,1.03091e+06,dav1d,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432332829,47,0,47,30,115.736,0,480,270,29.209,168285,1.36911e+06,794265,729393,970366,dav1d,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432333029,53,0,53,30,115.968,0,480,270,34.477,215029,1.86976e+06,907774,0,808773,dav1d,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432333230,59,0,59,30,116.174,0,480,270,39.427,266139,2.03423e+06,1.0158e+06,2.15236e+06,1.0014e+06,dav1d,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432333430,65,0,65,30,116.365,0,480,270,44.283,307979,1.6736e+06,1.0731e+06,2.55848e+06,1.19579e+06,dav1d,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432333630,71,0,71,30,116.548,0,480,270,48.535,342904,1.397e+06,1.09905e+06,2.74088e+06,1.36728e+06,dav1d,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432333831,77,0,77,30,116.703,0,480,270,52.939,378464,1.41532e+06,1.12262e+06,935960,1.32399e+06,dav1d,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432334031,83,0,83,30,116.942,0,480,270,57.857,419852,1.65552e+06,1.15941e+06,1.11612e+06,1.30512e+06,dav1d,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432334231,89,0,89,30,117.147,0,480,270,63.867,475344,2.21968e+06,1.22788e+06,1.65524e+06,1.33426e+06,dav1d,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432334431,95,0,95,30,117.465,0,480,270,70.083,534725,2.37524e+06,1.29748e+06,1.52564e+06,1.34897e+06,dav1d,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432334632,101,0,101,30,117.873,0,480,270,76.26,597349,2.4925e+06,1.36615e+06,1.91936e+06,1.38985e+06,dav1d,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432334832,107,0,107,30,118.207,0,480,270,82.72,661045,2.54784e+06,1.43006e+06,2.8052e+06,1.48409e+06,dav1d,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432335032,113,0,113,30,118.45,0,480,270,89.642,729087,2.72168e+06,1.49633e+06,3.2936e+06,1.59704e+06,dav1d,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432335233,119,0,119,30,119.141,0,640,360,96.362,821238,3.6677e+06,1.60281e+06,2.64163e+06,1.6587e+06,dav1d,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432335433,125,0,125,30,119.646,0,640,360,104.04,937388,4.646e+06,1.74438e+06,2.66836e+06,1.71472e+06,dav1d,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432335633,131,0,131,30,120.057,0,640,360,111.291,1061590,4.96808e+06,1.88769e+06,5.85156e+06,1.93216e+06,dav1d,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432335833,137,0,137,30,120.385,0,640,360,118.117,1181477,4.79548e+06,2.01145e+06,3.888e+06,2.02983e+06,dav1d,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432336034,143,0,143,30,120.802,0,640,360,125.662,1311503,5.17516e+06,2.14123e+06,5.08498e+06,2.17583e+06,dav1d,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
