timestamp,rtp_timestamp,first_packet_departure,estimated_first_packet_departure,first_packet_arrival,last_packet_arrival,render,encode_ms,pacing_ms,network_ms,estimated_network_ms,decode_ms,frame_construction_delay_ms,inter_frame_delay_ms,inter_frame_departure_ms,frame_jitter_ms,encoded_size,height,width,min_rtt,avail_bw,is_keyframe,frame_type
433141768,377202726,-1,433141772,433141768,433141768,0,2,0,3968044521091,-4,1,0,34,0,34,1905,480,270,1,30.48,0,delta
433141802,377205696,-1,433141806,433141802,433141802,0,3,0,3968044521124,-4,1,0,34,0,34,4557,480,270,1,72.912,0,delta
433141834,377208666,433141834,433141838,433141834,433141834,0,2,0,0,-4,1,0,32,0,32,1908,480,270,1,30.528,0,delta
433141868,377211636,433141867,433141871,433141867,433141867,0,2,0,0,-4,1,0,33,33,0,2653,480,270,1,42.448,0,delta
433141902,377214696,433141900,433141904,433141902,433141902,0,1,0,2,-2,1,0,35,33,2,1562,480,270,1,24.992,0,delta
433141935,377217666,433141933,433141938,433141935,433141935,0,2,0,2,-3,1,0,33,33,0,4465,480,270,1,71.44,0,delta
433141968,377220636,433141966,433141971,433141967,433141967,0,2,0,1,-4,1,0,32,33,-1,4516,480,270,1,72.256,0,delta
433142001,377223606,433141999,433142004,433142001,433142001,0,2,0,2,-3,1,0,34,33,1,4694,480,270,1,75.104,0,delta
433142035,377226576,433142032,433142036,433142034,433142034,0,1,0,2,-2,1,0,33,33,0,6718,480,270,1,107.488,0,delta
433142068,377229636,433142066,433142071,433142068,433142068,0,2,0,2,-3,1,0,34,34,0,7809,480,270,1,124.944,0,delta
433142102,377232696,433142100,433142105,433142101,433142101,0,2,0,1,-4,1,0,33,34,-1,5486,480,270,1,87.776,0,delta
433142135,377235666,433142133,433142138,433142134,433142134,0,2,0,1,-4,1,0,33,33,0,4616,480,270,1,73.856,0,delta
433142168,377238636,433142166,433142171,433142168,433142168,0,2,1,2,-3,1,0,34,33,1,6791,480,270,1,108.656,0,delta
433142202,377241606,433142200,433142205,433142201,433142201,0,3,0,1,-4,1,0,33,34,-1,7744,480,270,1,123.904,0,delta
433142234,377244576,433142232,433142237,433142234,433142234,0,2,0,2,-3,1,0,33,32,1,7087,480,270,1,113.392,0,delta
433142268,377247636,433142266,433142271,433142268,433142268,0,2,0,2,-3,0,0,34,34,0,5889,480,270,1,94.224,0,delta
433142301,377250696,433142299,433142304,433142301,433142301,0,1,0,2,-3,1,0,33,33,0,6697,480,270,1,107.152,0,delta
433142335,377253666,433142333,433142338,433142334,433142335,0,2,0,2,-3,1,1,34,34,0,8928,480,270,1,47.616,0,delta
433142367,377256636,433142365,433142370,433142367,433142367,0,1,0,2,-3,1,0,32,32,0,6802,480,270,1,108.832,0,delta
433142402,377259606,433142399,433142404,433142401,433142401,0,2,0,2,-3,1,0,34,34,0,7003,480,270,1,112.048,0,delta
433142436,377262666,433142433,433142437,433142435,433142435,0,1,0,2,-2,1,0,34,34,0,6264,480,270,1,100.224,0,delta
433142469,377265636,433142466,433142471,433142468,433142468,0,2,0,2,-3,1,0,33,33,0,9740,480,270,1,155.84,0,delta
433142502,377268696,433142500,433142505,433142501,433142501,0,2,0,1,-4,1,0,33,34,-1,5765,480,270,1,92.24,0,delta
433142536,377271666,433142533,433142538,433142535,433142535,0,2,0,2,-3,1,0,34,33,1,7470,480,270,1,119.52,0,delta
433142568,377274636,433142566,433142570,433142568,433142568,0,1,0,2,-2,1,0,33,33,0,6495,480,270,1,103.92,0,delta
433142603,377277696,433142601,433142606,433142602,433142602,0,3,0,1,-4,2,0,34,35,-1,12344,480,270,1,197.504,0,delta
433142635,377280666,433142633,433142638,433142634,433142634,0,2,0,1,-4,1,0,32,32,0,7325,480,270,1,117.2,0,delta
433142668,377283636,433142666,433142671,433142668,433142668,0,2,1,2,-3,1,0,34,33,1,9792,480,270,1,156.672,0,delta
433142701,377286606,433142699,433142704,433142701,433142701,0,2,1,2,-3,1,0,33,33,0,7415,480,270,1,118.64,0,delta
433142735,377289576,433142733,433142738,433142735,433142735,0,3,0,2,-3,1,0,34,34,0,12740,480,270,1,203.84,0,delta
433142768,377292636,433142766,433142771,433142768,433142768,0,2,0,2,-3,1,0,33,33,0,9330,480,270,1,149.28,0,delta
433142802,377295606,433142800,433142804,433142801,433142801,0,2,0,1,-3,1,0,33,34,-1,10945,480,270,1,175.12,0,delta
433142836,377298666,433142833,433142838,433142835,433142835,0,2,0,2,-3,1,0,34,33,1,9060,480,270,1,144.96,0,delta
433142870,377301726,433142868,433142873,433142869,433142869,0,3,0,1,-4,2,0,34,35,-1,15188,480,270,1,243.008,0,delta
433142902,377304606,433142900,433142905,433142902,433142902,0,3,0,2,-3,1,0,33,32,1,9273,480,270,1,148.368,0,delta
