Timestamp(ms),Bitrate(bps),LossRate,State(-1/0/1)
433182034,301000,0,1
433182438,50000000,0,1
433182462,50000000,0,1
433182486,50000000,0,1
433182489,50000000,0,1
433182511,50000000,0,1
433182536,50000000,0,1
433182540,50000000,0,1
433182562,50000000,0,1
433182586,50000000,0,1
433182590,50000000,0,1
433182611,50000000,0,1
433182636,50000000,0,1
433182640,50000000,0,1
433182661,50000000,0,1
433182686,50000000,0,1
433182711,50000000,0,1
433182737,50000000,0,1
433182742,50000000,0,1
433182762,50000000,0,1
433182787,50000000,0,1
433182792,50000000,0,1
433182811,50000000,0,1
433182836,50000000,0,1
433182843,50000000,0,1
433182862,50000000,0,1
433182885,50000000,0,1
433182894,50000000,0,1
433182911,50000000,0,1
433182936,50000000,0,1
433182945,50000000,0,1
433182962,50000000,0,1
433182987,50000000,0,1
433183012,50000000,0,1
433183037,50000000,0,1
433183046,50000000,0,1
433183062,50000000,0,1
433183087,50000000,0,1
433183097,50000000,0,1
433183111,50000000,0,1
433183136,50000000,0,1
433183148,50000000,0,1
433183161,50000000,0,1
433183186,50000000,0,1
433183196,50000000,0,1
433183199,50000000,0,1
433183211,50000000,0,1
433183236,50000000,0,1
433183250,50000000,0,1
433183261,50000000,0,1
433183286,50000000,0,1
433183311,50000000,0,1
433183337,50000000,0,1
433183351,50000000,0,1
433183362,50000000,0,1
433183387,50000000,0,1
433183401,50000000,0,1
433183411,50000000,0,1
433183436,50000000,0,1
433183452,50000000,0,1
433183462,50000000,0,1
433183486,50000000,0,1
433183503,50000000,0,1
433183512,50000000,0,1
433183535,50000000,0,1
433183553,50000000,0,1
433183561,50000000,0,1
433183586,50000000,0,1
433183611,50000000,0,1
433183637,50000000,0,1
433183654,50000000,0,1
433183662,50000000,0,1
433183685,50000000,0,1
433183705,50000000,0,1
433183712,50000000,0,1
433183736,50000000,0,1
433183755,50000000,0,1
433183762,50000000,0,1
433183787,50000000,0,1
433183806,50000000,0,1
433183811,50000000,0,1
433183836,50000000,0,1
433183856,50000000,0,1
433183861,50000000,0,1
433183886,50000000,0,1
433183912,50000000,0,1
433183937,50000000,0,1
433183958,50000000,0,1
433183962,50000000,0,1
433183986,50000000,0,1
433184008,50000000,0,1
433184012,50000000,0,1
433184037,50000000,0,1
433184059,50000000,0,1
433184061,50000000,0,1
433184086,50000000,0,1
433184110,50000000,0,1
433184112,50000000,0,1
433184137,50000000,0,1
433184160,50000000,0,1
433184160,50000000,0,1
433184186,50000000,0,1
433184211,50000000,0,1
433184237,50000000,0,1
433184261,50000000,0,1
433184261,50000000,0,1
433184280,50000000,0,1
433184287,50000000,0,1
433184312,50000000,0,1
433184312,50000000,0,1
433184336,50000000,0,1
433184361,50000000,0,1
433184363,50000000,0,1
433184387,50000000,0,1
433184412,50000000,0,1
433184414,50000000,0,1
433184437,50000000,0,1
433184461,50000000,0,1
433184464,50000000,0,1
433184485,50000000,0,1
433184511,50000000,0,1
433184515,50000000,0,1
433184536,50000000,0,1
433184561,50000000,0,1
433184565,50000000,0,1
433184586,50000000,0,1
433184612,50000000,0,1
433184616,50000000,0,1
433184637,50000000,0,1
433184661,50000000,0,1
433184666,50000000,0,1
433184687,50000000,0,1
433184712,50000000,0,1
433184717,50000000,0,1
433184737,50000000,0,1
433184762,50000000,0,1
433184768,50000000,0,1
433184787,50000000,0,1
433184812,50000000,0,1
433184818,50000000,0,1
433184837,50000000,0,1
433184860,50000000,0,1
433184869,50000000,0,1
433184886,50000000,0,1
433184912,50000000,0,1
433184920,50000000,0,1
433184933,50000000,0,1
433184936,50000000,0,1
433184962,50000000,0,1
433184971,50000000,0,1
433184986,50000000,0,1
433185011,50000000,0,1
433185022,50000000,0,1
433185037,50000000,0,1
433185061,50000000,0,1
433185073,50000000,0,1
433185086,50000000,0,1
433185112,50000000,0,1
433185136,50000000,0,1
433185161,50000000,0,1
433185174,50000000,0,1
433185187,50000000,0,1
