timestamp_ms,bandwidth_kbps,latency_ms
116699215.2,28030.0,15
116699315.2,33854.9,15
116699415.3,28681.1,15
116699515.7,31136.6,15
116699615.8,33438.1,15
116699716.3,31213.4,15
116699816.7,31211.0,15
116699916.9,31168.0,15
116700017.4,31168.0,15
116700117.8,13371.4,15
116700217.8,49653.8,15
116700318.2,31168.0,15
116700418.7,31211.0,15
116700519.2,31211.0,15
116700619.7,20401.9,15
116700719.7,52002.5,15
116700820.2,31168.0,15
116700920.2,31168.0,15
116701020.7,31168.0,15
116701120.8,24370.8,15
116701221.2,41025.6,15
116701321.2,10390.0,15
116701421.2,31226.4,15
116701521.2,24144.0,15
116701621.8,21211.3,15
116701722.3,42440.3,15
116701822.8,31240.0,15
116701923.3,23358.8,15
116702023.3,31267.8,15
116702123.3,31246.1,15
