Timestamp(ms),Bitrate(bps),DelayJitter(ms),Threshold(ms),CongestionState
433303308,0,0,12.5,0
433303358,301000,0,12.5,0
433303358,301000,-1,12.5,0
433303358,301000,0,12.5,0
433303358,301000,0,12.5,0
433303358,301000,0,12.5,0
433303358,301000,0,12.5,0
433303358,301000,0,7.625,0
433303358,301000,0,7.625,0
433303358,301000,0,7.625,0
433303358,301000,0,6.13813,0
433303358,301000,0,6.13813,0
433303358,301000,0,6.13813,0
433303358,301000,0,6.13813,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303409,1932266,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303460,4442461,0,6,0
433303510,10476307,0,6,0
433303510,10476307,0,6,0
433303510,10476307,0,6,0
433303510,10476307,0,6,0
433303510,10476307,0,6,0
433303510,10476307,0,6,0
433303510,10476307,0,6,0
433303510,10476307,0,6,0
433303510,10476307,0,6,0
433303510,10476307,0,6,0
433303510,10476307,0,6,0
433303510,10476307,0,6,0
433303510,10476307,0,6,0
433303510,10476307,0,6,0
