Timestamp(ms),Bitrate(bps),LossRate,State(-1/0/1)
433303308,301000,0,1
433303561,50000000,0,1
433303565,50000000,0,1
433303591,50000000,0,1
433303611,50000000,0,1
433303615,50000000,0,1
433303640,50000000,0,1
433303661,50000000,0,1
433303665,50000000,0,1
433303691,50000000,0,1
433303712,50000000,0,1
433303715,50000000,0,1
433303741,50000000,0,1
433303762,50000000,0,1
433303765,50000000,0,1
433303791,50000000,0,1
433303813,50000000,0,1
433303815,50000000,0,1
433303840,50000000,0,1
433303864,50000000,0,1
433303866,50000000,0,1
433303890,50000000,0,1
433303914,50000000,0,1
433303915,50000000,0,1
433303941,50000000,0,1
433303964,50000000,0,1
433303965,50000000,0,1
433303990,50000000,0,1
433304015,50000000,0,1
433304016,50000000,0,1
433304041,50000000,0,1
433304065,50000000,0,1
433304065,50000000,0,1
433304090,50000000,0,1
433304116,50000000,0,1
433304116,50000000,0,1
433304141,50000000,0,1
433304166,50000000,0,1
433304166,50000000,0,1
433304191,50000000,0,1
433304216,50000000,0,1
433304216,50000000,0,1
433304241,50000000,0,1
433304242,50000000,0,1
433304265,50000000,0,1
433304267,50000000,0,1
433304291,50000000,0,1
433304315,50000000,0,1
433304317,50000000,0,1
433304340,50000000,0,1
433304366,50000000,0,1
433304368,50000000,0,1
433304391,50000000,0,1
433304416,50000000,0,1
433304418,50000000,0,1
433304440,50000000,0,1
433304466,50000000,0,1
433304469,50000000,0,1
433304489,50000000,0,1
433304516,50000000,0,1
433304520,50000000,0,1
433304540,50000000,0,1
433304566,50000000,0,1
433304570,50000000,0,1
433304590,50000000,0,1
433304616,50000000,0,1
433304621,50000000,0,1
433304640,50000000,0,1
433304666,50000000,0,1
433304672,50000000,0,1
433304690,50000000,0,1
433304715,50000000,0,1
433304723,50000000,0,1
433304740,50000000,0,1
433304766,50000000,0,1
433304773,50000000,0,1
433304791,50000000,0,1
433304816,50000000,0,1
433304824,50000000,0,1
433304841,50000000,0,1
433304865,50000000,0,1
433304875,50000000,0,1
433304891,50000000,0,1
433304914,50000000,0,1
433304926,50000000,0,1
433304941,50000000,0,1
433304966,50000000,0,1
433304976,50000000,0,1
433304990,50000000,0,1
433305016,50000000,0,1
433305027,50000000,0,1
433305041,50000000,0,1
433305065,50000000,0,1
433305077,50000000,0,1
433305090,50000000,0,1
433305116,50000000,0,1
433305127,50000000,0,1
433305140,50000000,0,1
433305165,50000000,0,1
433305178,50000000,0,1
433305190,50000000,0,1
433305215,50000000,0,1
433305215,50000000,0,1
433305229,50000000,0,1
433305240,50000000,0,1
433305266,50000000,0,1
433305280,50000000,0,1
433305291,50000000,0,1
433305316,50000000,0,1
433305330,50000000,0,1
433305341,50000000,0,1
433305364,50000000,0,1
433305381,50000000,0,1
433305391,50000000,0,1
433305416,50000000,0,1
433305432,50000000,0,1
433305439,50000000,0,1
433305465,50000000,0,1
433305483,50000000,0,1
433305490,50000000,0,1
433305516,50000000,0,1
433305534,50000000,0,1
433305541,50000000,0,1
433305566,50000000,0,1
433305584,50000000,0,1
433305590,50000000,0,1
433305615,50000000,0,1
433305635,50000000,0,1
433305641,50000000,0,1
433305665,50000000,0,1
433305686,50000000,0,1
433305690,50000000,0,1
433305716,50000000,0,1
433305737,50000000,0,1
433305740,50000000,0,1
433305765,50000000,0,1
433305787,50000000,0,1
433305791,50000000,0,1
433305816,50000000,0,1
433305838,50000000,0,1
433305841,50000000,0,1
433305866,50000000,0,1
433305889,50000000,0,1
433305891,50000000,0,1
433305915,50000000,0,1
433305939,50000000,0,1
433305940,50000000,0,1
433305965,50000000,0,1
433305990,50000000,0,1
433305991,50000000,0,1
433306005,50000000,0,1
433306016,50000000,0,1
433306040,50000000,0,1
433306041,50000000,0,1
433306066,50000000,0,1
433306091,50000000,0,1
433306091,50000000,0,1
433306116,50000000,0,1
433306141,50000000,0,1
433306142,50000000,0,1
433306165,50000000,0,1
433306189,50000000,0,1
433306192,50000000,0,1
433306216,50000000,0,1
433306241,50000000,0,1
