Timestamp(ms),Bitrate(bps),LossRate,State(-1/0/1)
433141347,50000000,0,1
433141360,50000000,0,1
433141384,50000000,0,1
433141397,50000000,0,1
433141409,50000000,0,1
433141433,50000000,0,1
433141448,50000000,0,1
433141459,50000000,0,1
433141484,50000000,0,1
433141498,50000000,0,1
433141508,50000000,0,1
433141534,50000000,0,1
433141549,50000000,0,1
433141559,50000000,0,1
433141585,50000000,0,1
433141600,50000000,0,1
433141610,50000000,0,1
433141635,50000000,0,1
433141650,50000000,0,1
433141659,50000000,0,1
433141683,50000000,0,1
433141700,50000000,0,1
433141710,50000000,0,1
433141734,50000000,0,1
433141751,50000000,0,1
433141758,50000000,0,1
433141783,50000000,0,1
433141802,50000000,0,1
433141808,50000000,0,1
433141834,50000000,0,1
433141852,50000000,0,1
433141858,50000000,0,1
433141884,50000000,0,1
433141903,50000000,0,1
433141909,50000000,0,1
433141934,50000000,0,1
433141954,50000000,0,1
433141960,50000000,0,1
433141984,50000000,0,1
433142004,50000000,0,1
433142008,50000000,0,1
433142035,50000000,0,1
433142055,50000000,0,1
433142060,50000000,0,1
433142084,50000000,0,1
433142086,50000000,0,1
433142105,50000000,0,1
433142109,50000000,0,1
433142134,50000000,0,1
433142156,50000000,0,1
433142159,50000000,0,1
433142185,50000000,0,1
433142207,50000000,0,1
433142210,50000000,0,1
433142233,50000000,0,1
433142258,50000000,0,1
433142258,50000000,0,1
433142283,50000000,0,1
433142309,50000000,0,1
433142309,50000000,0,1
433142334,50000000,0,1
433142359,50000000,0,1
433142360,50000000,0,1
433142383,50000000,0,1
433142408,50000000,0,1
433142411,50000000,0,1
433142433,50000000,0,1
433142459,50000000,0,1
433142461,50000000,0,1
433142485,50000000,0,1
433142508,50000000,0,1
433142511,50000000,0,1
433142534,50000000,0,1
433142559,50000000,0,1
433142562,50000000,0,1
433142585,50000000,0,1
433142608,50000000,0,1
433142612,50000000,0,1
433142633,50000000,0,1
433142658,50000000,0,1
433142663,50000000,0,1
433142684,50000000,0,1
433142710,50000000,0,1
433142713,50000000,0,1
433142733,50000000,0,1
433142759,50000000,0,1
433142764,50000000,0,1
433142783,50000000,0,1
433142809,50000000,0,1
433142814,50000000,0,1
433142833,50000000,0,1
433142858,50000000,0,1
433142865,50000000,0,1
433142883,50000000,0,1
433142909,50000000,0,1
433142915,50000000,0,1
433142934,50000000,0,1
433142958,50000000,0,1
433142966,50000000,0,1
433142984,50000000,0,1
433143008,50000000,0,1
433143016,50000000,0,1
433143033,50000000,0,1
433143059,50000000,0,1
433143067,50000000,0,1
433143073,50000000,0,1
433143084,50000000,0,1
433143108,50000000,0,1
433143118,50000000,0,1
433143134,50000000,0,1
433143159,50000000,0,1
433143168,50000000,0,1
433143184,50000000,0,1
433143209,50000000,0,1
433143218,50000000,0,1
433143234,50000000,0,1
433143258,50000000,0,1
433143269,50000000,0,1
433143284,50000000,0,1
433143309,50000000,0,1
433143319,50000000,0,1
433143334,50000000,0,1
433143359,50000000,0,1
433143370,50000000,0,1
433143383,50000000,0,1
433143408,50000000,0,1
433143421,50000000,0,1
433143434,50000000,0,1
433143460,50000000,0,1
433143471,50000000,0,1
433143485,50000000,0,1
433143509,50000000,0,1
433143521,50000000,0,1
433143534,50000000,0,1
433143559,50000000,0,1
433143571,50000000,0,1
433143584,50000000,0,1
433143608,50000000,0,1
433143622,50000000,0,1
433143633,50000000,0,1
433143659,50000000,0,1
433143673,50000000,0,1
433143684,50000000,0,1
433143708,50000000,0,1
433143724,50000000,0,1
433143734,50000000,0,1
433143759,50000000,0,1
433143775,50000000,0,1
433143783,50000000,0,1
433143809,50000000,0,1
433143825,50000000,0,1
433143833,50000000,0,1
433143858,50000000,0,1
433143872,50000000,0,1
433143875,50000000,0,1
433143885,50000000,0,1
433143909,50000000,0,1
433143926,50000000,0,1
433143933,50000000,0,1
433143960,50000000,0,1
433143977,50000000,0,1
433143984,50000000,0,1
433144008,50000000,0,1
433144027,50000000,0,1
433144033,50000000,0,1
433144058,50000000,0,1
433144078,50000000,0,1
433144084,50000000,0,1
