timestamp_ms,chunk_bytes,total_bytes
15951.328,512,83369
16051.504,9,83378
16051.584,512,83890
16151.878,9,83899
16151.964,512,84411
16252.136,9,84420
16252.157,512,84932
16352.369,9,84941
16352.390,512,85453
16452.549,9,85462
16452.621,512,85974
16552.822,9,85983
16552.907,512,86495
16653.201,9,86504
16653.319,512,87016
16753.571,9,87025
16753.667,512,87537
16853.915,9,87546
16854.003,512,88058
16954.248,9,88067
16954.283,512,88579
17054.467,9,88588
17054.498,512,89100
17154.623,9,89109
17154.655,512,89621
17255.024,9,89630
17255.144,512,90142
17355.346,9,90151
17355.386,512,90663
17455.574,9,90672
17455.635,512,91184
17555.941,9,91193
17555.965,512,91705
17656.240,9,91714
17656.320,512,92226
17756.977,9,92235
17757.126,512,92747
17857.288,9,92756
17857.312,512,93268
17957.574,9,93277
17957.595,512,93789
18057.745,9,93798
18057.765,512,94310
18157.930,9,94319
18157.957,512,94831
18258.214,9,94840
18258.254,512,95352
18358.474,9,95361
18358.510,512,95873
18458.672,9,95882
18458.702,512,96394
18558.936,9,96403
18558.996,512,96915
18659.175,9,96924
18659.204,512,97436
18759.410,9,97445
18759.463,512,97957
18859.556,9,97966
18859.608,512,98478
18959.813,9,98487
18959.840,512,98999
19059.971,9,99008
19060.037,512,99520
