timestamp_ms,frames_decoded,frames_dropped,frames_received,framerate,jitter_buffer_delay_ms,min_playout_delay_ms,video_width,video_height,total_decode_time_ms,total_bytes_received,bitrates,overall_avg_bitrates,sender_period_bitrate,sender_overall_bitrate,decoder_implementation,period_packets_received,period_packets_lost,loss_ratio,period_packets_discarded,period_fec_packets_received,period_fec_packets_discarded,period_packets_repaired,period_fec_bytes_recv,period_fec_bytes_sent,fec_byte_ratio,period_retx_pkts_recv,period_retx_bytes_recv,period_retx_pkts_sent,period_retx_bytes_sent,retransmission_ratio,period_freeze_count,period_freeze_duration_ms,freeze_time_ratio
433182185,1.5,0,1.5,14,26.323,0,320,240,0.734,10518,279548,279548,0,0,dav1d,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433182385,6,0,6,19,54.852,0,320,240,3.216,23789,530840,379864,0,0,dav1d,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433182585,10,0,10,20,54.998,0,320,240,4.973,34141,414080,389626,0,0,dav1d,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433182785,13,0,13,18,55.079,0,320,240,6.605,40873,269280,362912,0,1.29248e+06,dav1d,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
433182986,16,0,16,18,55.129,0,320,240,8.214,47746,273552,346613,140020,714813,dav1d,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433183186,20,0,20,17,55.242,0,320,240,10.37,57240,379760,351705,476640,635554,dav1d,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433183386,23,0,23,17,55.339,0,320,240,11.921,66637,375880,354924,185480,523176,dav1d,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433183587,26,0,26,16,55.437,0,320,240,13.677,79341,505632,372712,366766,491800,dav1d,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433183787,29,0,29,16,55.501,0,320,240,15.67,94551,608400,397482,329840,464852,dav1d,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433183988,33,0,33,17,55.589,0,320,240,18.182,117390,909015,446350,0,398255,dav1d,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433184188,36,0,36,16,55.694,0,320,240,20.204,135606,728640,470854,0,348566,dav1d,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433184389,39,0,39,16,55.782,0,320,240,22.07,153053,694408,488792,0,309729,dav1d,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
