timestamp,rtp_timestamp,first_packet_departure,estimated_first_packet_departure,first_packet_arrival,last_packet_arrival,render,encode_ms,pacing_ms,network_ms,estimated_network_ms,decode_ms,frame_construction_delay_ms,inter_frame_delay_ms,inter_frame_departure_ms,frame_jitter_ms,encoded_size,height,width,min_rtt,avail_bw,is_keyframe,frame_type
433185256,4153492421,433185255,433185259,433185256,433185256,0,1,0,1,-3,0,0,60,59,1,6079,320,240,1,97.264,0,delta
433185316,4153497821,433185315,433185319,433185316,433185316,0,1,0,1,-3,1,0,60,60,0,6102,320,240,1,97.632,0,delta
433185376,4153503221,433185375,433185379,433185376,433185376,0,1,0,1,-3,1,0,60,60,0,5945,320,240,1,95.12,0,delta
433185436,4153508621,433185435,433185439,433185436,433185436,0,1,0,1,-3,1,0,60,60,0,6246,320,240,1,99.936,0,delta
433185500,4153514381,433185499,433185503,433185500,433185500,0,1,0,1,-3,0,0,64,64,0,5989,320,240,1,95.824,0,delta
433185560,4153519781,433185559,433185563,433185560,433185560,0,1,0,1,-3,1,0,60,60,0,6313,320,240,1,101.008,0,delta
433185620,4153525181,433185619,433185623,433185620,433185620,0,1,0,1,-3,1,0,60,60,0,6469,320,240,1,103.504,0,delta
433185680,4153530581,433185679,433185683,433185680,433185680,0,1,0,1,-3,1,0,60,60,0,6746,320,240,1,107.936,0,delta
433185744,4153536341,433185744,433185747,433185743,433185743,0,1,0,-1,-4,0,0,63,65,-2,7085,320,240,1,113.36,0,delta
433185804,4153541741,433185804,433185807,433185804,433185804,0,1,0,0,-3,0,0,61,60,1,7537,320,240,1,120.592,0,delta
433185864,4153547141,433185864,433185867,433185863,433185863,0,1,0,-1,-4,0,0,59,60,-1,7485,320,240,1,119.76,0,delta
433185930,4153552541,433185928,433185932,433185929,433185929,0,6,1,1,-3,1,0,66,64,2,16897,480,360,1,270.352,1,key
433185986,4153557941,433185985,433185989,433185986,433185986,0,3,0,1,-3,1,0,57,57,0,11980,480,360,1,191.68,0,delta
433186050,4153563701,433186048,433186052,433186049,433186049,0,2,0,1,-3,1,0,63,63,0,13258,480,360,1,212.128,0,delta
433186109,4153569101,433186108,433186112,433186109,433186109,0,2,0,1,-3,1,0,60,60,0,10509,480,360,1,168.144,0,delta
433186170,4153574501,433186169,433186173,433186169,433186169,0,3,0,0,-4,1,0,60,61,-1,14217,480,360,1,227.472,0,delta
433186230,4153579901,433186228,433186232,433186229,433186229,0,2,0,1,-3,1,0,60,59,1,12430,480,360,1,198.88,0,delta
433186294,4153585661,433186292,433186296,433186293,433186293,0,2,0,1,-3,2,0,64,64,0,12529,480,360,1,200.464,0,delta
433186353,4153591061,433186352,433186356,433186353,433186353,0,2,1,1,-3,1,0,60,60,0,11935,480,360,1,190.96,0,delta
433186414,4153596461,433186413,433186417,433186413,433186414,0,3,0,1,-3,1,1,61,61,0,13199,480,360,1,70.3947,0,delta
433186473,4153601861,433186472,433186476,433186473,433186473,0,2,0,1,-3,1,0,59,59,0,11827,480,360,1,189.232,0,delta
433186534,4153607261,433186532,433186536,433186533,433186533,0,2,0,1,-3,1,0,60,60,0,11892,480,360,1,190.272,0,delta
433186598,4153613021,433186596,433186600,433186597,433186597,0,2,1,1,-3,1,0,64,64,0,11577,480,360,1,185.232,0,delta
433186658,4153618421,433186657,433186661,433186657,433186657,0,3,0,0,-4,2,0,60,61,-1,12270,480,360,1,196.32,0,delta
433186718,4153623821,433186716,433186720,433186717,433186717,0,2,0,1,-3,1,0,60,59,1,12066,480,360,1,193.056,0,delta
433186778,4153629221,433186776,433186780,433186777,433186777,0,2,0,1,-3,1,0,60,60,0,11851,480,360,1,189.616,0,delta
433186837,4153634621,433186836,433186840,433186837,433186837,0,2,1,1,-3,1,0,60,60,0,11779,480,360,1,188.464,0,delta
433186902,4153640381,433186900,433186904,433186901,433186901,0,2,0,1,-3,2,0,64,64,0,9840,480,360,1,157.44,0,delta
433186962,4153645781,433186960,433186964,433186961,433186961,0,2,1,1,-3,1,0,60,60,0,10430,480,360,1,166.88,0,delta
433187021,4153651181,433187020,433187024,433187021,433187021,0,2,1,1,-3,1,0,60,60,0,8449,480,360,1,135.184,0,delta
433187081,4153656581,433187080,433187084,433187080,433187081,0,2,0,1,-3,1,1,60,60,0,10012,480,360,1,53.3973,0,delta
433187146,4153662341,433187144,433187148,433187145,433187145,0,2,0,1,-3,1,0,64,64,0,11141,480,360,1,178.256,0,delta
433187205,4153667741,433187204,433187208,433187205,433187205,0,2,0,1,-3,1,0,60,60,0,11413,480,360,1,182.608,0,delta
433187265,4153673141,433187264,433187268,433187265,433187265,0,2,0,1,-3,1,0,60,60,0,9062,480,360,1,144.992,0,delta
433187325,4153678541,433187324,433187328,433187325,433187325,0,2,0,1,-3,1,0,60,60,0,10157,480,360,1,162.512,0,delta
433187386,4153683941,433187384,433187388,433187385,433187385,0,2,0,1,-3,1,0,60,60,0,11888,480,360,1,190.208,0,delta
433187449,4153689701,433187449,433187452,433187448,433187448,0,2,0,-1,-4,1,0,63,65,-2,11380,480,360,1,182.08,0,delta
433187510,4153695101,433187509,433187512,433187509,433187509,0,2,0,0,-3,1,0,61,60,1,10815,480,360,1,173.04,0,delta
433187569,4153700501,433187569,433187572,433187569,433187569,0,2,0,0,-3,1,0,60,60,0,11579,480,360,1,185.264,0,delta
433187630,4153705901,433187630,433187633,433187629,433187629,0,3,0,-1,-4,2,0,60,61,-1,11945,480,360,1,191.12,0,delta
433187694,4153711661,433187693,433187696,433187693,433187693,0,2,0,0,-3,1,0,64,63,1,12949,480,360,1,207.184,0,delta
433187754,4153717061,433187752,433187756,433187753,433187753,0,2,0,1,-3,1,0,60,59,1,12825,480,360,1,205.2,0,delta
433187813,4153722461,433187812,433187816,433187813,433187813,0,2,1,1,-3,1,0,60,60,0,12012,480,360,1,192.192,0,delta
433187874,4153727861,433187873,433187877,433187873,433187873,0,3,0,0,-4,2,0,60,61,-1,12739,480,360,1,203.824,0,delta
433187933,4153733261,433187932,433187936,433187933,433187933,0,2,0,1,-3,1,0,60,59,1,12088,480,360,1,193.408,0,delta
433187998,4153739021,433187996,433188000,433187997,433187997,0,2,0,1,-3,1,0,64,64,0,11581,480,360,1,185.296,0,delta
433188057,4153744421,433188056,433188060,433188057,433188057,0,2,0,1,-3,1,0,60,60,0,11202,480,360,1,179.232,0,delta
433188118,4153749821,433188116,433188120,433188117,433188117,0,2,0,1,-3,1,0,60,60,0,12690,480,360,1,203.04,0,delta
433188178,4153755221,433188176,433188180,433188177,433188177,0,2,0,1,-3,1,0,60,60,0,11579,480,360,1,185.264,0,delta
433188242,4153760981,433188240,433188244,433188241,433188241,0,2,0,1,-3,1,0,64,64,0,11624,480,360,1,185.984,0,delta
433188302,4153766381,433188300,433188304,433188301,433188301,0,2,0,1,-3,1,0,60,60,0,11326,480,360,1,181.216,0,delta
433188362,4153771781,433188361,433188365,433188361,433188361,0,3,0,0,-4,2,0,60,61,-1,12418,480,360,1,198.688,0,delta
433188421,4153777181,433188420,433188424,433188421,433188421,0,2,0,1,-3,1,0,60,59,1,11655,480,360,1,186.48,0,delta
433188482,4153782581,433188480,433188484,433188481,433188481,0,2,0,1,-3,1,0,60,60,0,11715,480,360,1,187.44,0,delta
433188545,4153788341,433188544,433188548,433188544,433188544,0,2,0,0,-4,1,0,63,64,-1,11298,480,360,1,180.768,0,delta
433188606,4153793741,433188604,433188608,433188605,433188605,0,2,0,1,-3,1,0,61,60,1,11977,480,360,1,191.632,0,delta
433188665,4153799141,433188664,433188668,433188665,433188665,0,2,0,1,-3,1,0,60,60,0,11266,480,360,1,180.256,0,delta
433188726,4153804541,433188724,433188728,433188725,433188725,0,2,0,1,-3,1,0,60,60,0,11290,480,360,1,180.64,0,delta
433188790,4153810301,433188788,433188792,433188789,433188789,0,2,0,1,-3,1,0,64,64,0,11563,480,360,1,185.008,0,delta
433188851,4153815701,433188849,433188853,433188849,433188850,0,3,0,1,-3,1,1,61,61,0,12465,480,360,1,66.48,0,delta
433188910,4153821101,433188908,433188912,433188909,433188909,0,2,0,1,-3,1,0,59,59,0,12395,480,360,1,198.32,0,delta
433188970,4153826501,433188968,433188972,433188969,433188969,0,2,0,1,-3,2,0,60,60,0,12698,480,360,1,203.168,0,delta
433189030,4153831901,433189028,433189032,433189029,433189029,0,2,1,1,-3,1,0,60,60,0,12102,480,360,1,193.632,0,delta
433189095,4153837661,433189093,433189097,433189094,433189094,0,3,0,1,-3,1,0,65,65,0,13446,480,360,1,215.136,0,delta
433189153,4153843061,433189152,433189156,433189153,433189153,0,2,0,1,-3,1,0,59,59,0,12305,480,360,1,196.88,0,delta
433189214,4153848461,433189212,433189216,433189213,433189213,0,2,0,1,-3,2,0,60,60,0,13231,480,360,1,211.696,0,delta
433189273,4153853861,433189272,433189276,433189272,433189272,0,2,0,0,-4,1,0,59,60,-1,12431,480,360,1,198.896,0,delta
433189338,4153859621,433189337,433189341,433189337,433189337,0,3,0,0,-4,2,0,65,65,0,13635,480,360,1,218.16,0,delta
433189397,4153865021,433189396,433189400,433189397,433189397,0,2,1,1,-3,1,0,60,59,1,12336,480,360,1,197.376,0,delta
433189458,4153870421,433189456,433189460,433189457,433189457,0,2,0,1,-3,1,0,60,60,0,12420,480,360,1,198.72,0,delta
433189517,4153875821,433189516,433189520,433189517,433189517,0,2,0,1,-3,1,0,60,60,0,12075,480,360,1,193.2,0,delta
433189578,4153881221,433189577,433189581,433189577,433189577,0,3,0,0,-4,2,0,60,61,-1,13148,480,360,1,210.368,0,delta
433189641,4153886981,433189640,433189644,433189641,433189641,0,2,0,1,-3,1,0,64,63,1,11713,480,360,1,187.408,0,delta
433189702,4153892381,433189700,433189704,433189701,433189701,0,2,0,1,-3,1,0,60,60,0,11741,480,360,1,187.856,0,delta
433189761,4153897781,433189760,433189764,433189760,433189761,0,2,0,1,-3,1,1,60,60,0,11720,480,360,1,62.5067,0,delta
433189822,4153903181,433189820,433189824,433189821,433189821,0,2,0,1,-3,2,0,60,60,0,12296,480,360,1,196.736,0,delta
433189885,4153908941,433189884,433189888,433189884,433189885,0,2,0,1,-3,1,1,64,64,0,11972,480,360,1,63.8507,0,delta
433189951,4153914341,433189949,433189953,433189950,433189950,0,7,1,1,-3,1,0,65,65,0,35590,640,480,1,569.44,1,key
433190006,4153919741,433190005,433190009,433190005,433190005,0,3,0,0,-4,2,0,55,56,-1,28416,640,480,1,454.656,0,delta
433190066,4153925141,433190065,433190069,433190065,433190065,0,3,0,0,-4,1,0,60,60,0,28434,640,480,1,454.944,0,delta
433190127,4153930541,433190125,433190129,433190126,433190126,0,3,0,1,-3,1,0,61,60,1,23719,640,480,1,379.504,0,delta
433190192,4153936301,433190190,433190194,433190190,433190190,0,4,0,0,-4,2,0,64,65,-1,29242,640,480,1,467.872,0,delta
433190251,4153941701,433190249,433190253,433190250,433190250,0,3,1,1,-3,1,0,60,59,1,27420,640,480,1,438.72,0,delta
433190310,4153947101,433190309,433190313,433190310,433190310,0,3,0,1,-3,1,0,60,60,0,28441,640,480,1,455.056,0,delta
433190370,4153952501,433190368,433190372,433190369,433190369,0,2,0,1,-3,1,0,59,59,0,27878,640,480,1,446.048,0,delta
