Timestamp(ms),Bitrate(bps),DelayJitter(ms),Threshold(ms),CongestionState
433236422,0,0,12.5,0
433236422,0,0,12.5,0
433236422,0,0,12.5,0
433236422,0,0,12.5,0
433236473,893090,1,7.625,0
433236473,893090,-1,6,0
433236473,893090,0,6,0
433236473,893090,0,6,0
433236473,893090,0,6,0
433236473,893090,0,6,0
433236473,893090,0,6,0
433236473,893090,0,6,0
433236523,1813440,0,6,0
433236523,1813440,0,6,0
433236523,1813440,0,6,0
433236523,1813440,0,6,0
433236523,1813440,0,6,0
433236523,1813440,0,6,0
433236523,1813440,0,6,0
433236523,1813440,0,6,0
433236523,1813440,0,6,0
433236523,1813440,0,6,0
433236523,1813440,0,6,0
433236523,1813440,0,6,0
433236523,1813440,0,6,0
433236523,1813440,0,6,0
433236523,1813440,0,6,0
433236523,1813440,0,6,0
433236523,1813440,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236574,4009846,0,6,0
433236624,9848000,1,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,-1,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,1,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236624,9848000,0,6,0
433236674,22681142,-1,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
433236674,22681142,0,6,0
